element_ID,element_interpret,element_general_type,element_thickness_type
3326,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3327,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3329,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3330,sandy terminal splay,terminal deposit,apparent
3332,sandy terminal splay,terminal deposit,apparent
3334,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3336,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3338,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3340,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3450,bipartite facies and associated strata/splay,terminal deposit,apparent
3469,bipartite facies and associated strata/splay,terminal deposit,apparent
3472,Contourite-dominated facies,terminal deposit,NA
3474,Contourite-dominated facies,terminal deposit,NA
3476,Contourite-dominated facies,terminal deposit,NA
3477,Turbidite-dominated facies,terminal deposit,NA
3481,Turbidite-dominated facies,terminal deposit,NA
3487,Turbidite-dominated facies,terminal deposit,NA
3492,Turbidite-dominated facies,terminal deposit,NA
3493,Contourite-dominated facies,terminal deposit,NA
3496,Turbidite-dominated facies,terminal deposit,NA
3497,Contourite-dominated facies,terminal deposit,NA
3499,Contourite-dominated facies,terminal deposit,NA
3501,NA,terminal deposit,unlimited observed
3502,Channel-lobe transition zone,terminal deposit,unlimited observed
3503,Levee,levee,partial observed
3504,Channel-lobe transition zone,terminal deposit,apparent
3505,Channel fill,channel,apparent
3506,Lobe,terminal deposit,partial observed
3507,Channel-lobe transition zone,terminal deposit,unlimited observed
3550,inner fan,terminal deposit,unlimited observed
3551,channel fill,channel,apparent
3552,channel fill,channel,apparent
3553,channel fill,channel,apparent
3554,channel-fill complex,channel,apparent
3557,channel fill and abandonement,channel,apparent
3558,fan lobe,terminal deposit,unlimited observed
3561,channel-fill complex,channel,apparent
3565,channel-fill,channel,apparent
3567,channel-fill,channel,apparent
3571,channel-fill complex,channel,apparent
3573,mid-inner fan,terminal deposit,unlimited observed
4598,depositional lobe,terminal deposit,unlimited observed
4599,depositional lobe,terminal deposit,unlimited observed
4600,depositional lobe,terminal deposit,unlimited observed
4601,depositional lobe,terminal deposit,unlimited observed
4606,Channel-fill deposits and channel-lobe transition zone,channel,unlimited observed
4607,Lobe-axis deposits,terminal deposit,partial observed
4608,Lobe-fringe deposits,terminal deposit,apparent
4609,Lobe-axis deposits,terminal deposit,apparent
4610,Lobe-off-axis deposits,terminal deposit,partial observed
